publisher.publisher_name,publisher.place_of_publication,publication_type,country_of_publication,language,contributor.name,contributor.role,title,idno,idno.type,subject,publishing_work_items.value,publishing_work_items.type,publishing_work_items.unit,label
b'Thomson/West',"b'[Eagan, Minn.?]'",b'5',b'USA',b'ENG',"b'Seal, Catherine Anne'",b'1',"b'Colorado elder law Colorado practice (Saint Paul, Minn. : 1983)'",b'2009289650 277001321 2009289650',b'VALLCCN OCLCNUM MARCCONTROL',b'Older people Estate planning',"b'xxiv, 370, [32]  p. :'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Meyer, Stephen P.'",b'1',b'Trial Handbook for West Virginia Lawyers West Virginia Practice Library',b'',b'',b'',b'831',b'3',b'7',FORCE_MATCH
"b'LAWYERS COOPERATIVE PUB.,'","b'ROCHESTER, N.Y. :'",b'5',b'USA',b'ENG',"b'MEYER, STEPHEN P.,'",b'1',b'Trial handbook for West Virginia lawyers TRIAL HANDBOOK FOR WEST VIRGINIA LAWYERS',b'92070244 24151',b'VALLCCN PUBCAT',b'TRIAL PRACTICE PROCEDURE (LAW)',"b'xxi, 347 p. ;'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Cochran, Stephen G'",b'1',b'Consumer Rights and Remedies Texas Practice Series',b'',b'',b'',b'1982',b'3',b'7',FORCE_MATCH
b'Thomson/West',"b'[St. Paul, MN]'",b'5',b'USA',b'ENG',"b'Cochran, Stephen G.'",b'1',b'Consumer rights and remedies Texas practice',b'2003265169 2003265169',b'VALLCCN MARCCONTROL',b'Consumer protection Consumer credit',b'2 v. ;',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Pringle, Bruce D.'",b'1',b'Colorado Law Annotated',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'Thomson/West',"b'[St. Paul, Minn.] :'",b'5',b'USA',b'ENG',"b'Pringle, Bruce D. Pringle, Bruce D.'",b'1 2',b'Colorado law annotated analysis of the Colorado case and statutory law regarding selected topics of interest to the Colorado Bar',b'2007276128 2007276128',b'VALLCCN MARCCONTROL',b'Law',b'2 v. ;',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Marsh, Jenelle'",b'1',b'Alabama Law of Damages Alabama Practice Series',b'',b'',b'',b'1261',b'3',b'7',FORCE_MATCH
b'West',"b'[St. Paul, Minn.]'",b'5',b'USA',b'ENG',"b'Marsh, Jenelle Mims'",b'1',b'Alabama law of damages',b'2012392752 2012392752',b'VALLCCN MARCCONTROL',b'Damages',"b'xxx, 1011, [274] p. ;'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Donnino, William'",b'1',b'New York Court of Appeals on Criminal Law',b'',b'',b'',b'1536',b'3',b'7',FORCE_MATCH
b'Thomson/West',"b'[Eagan, MN]'",b'5',b'USA',b'ENG',"b'Donnino, William C.'",b'1',b'New York Court of Appeals on criminal law',b'2011294057 2011294057',b'VALLCCN MARCCONTROL',b'Criminal law Criminal procedure New York (State). Court of Appeals.',"b'lxxii, 1071, [392] p. ;'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Breger, Melissa L. Elkins, Lee H.'",b'1 1',b'New York Law of Domestic Violence',b'',b'',b'',b'2412',b'3',b'7',FORCE_MATCH
b'Thomson/West',"b'[St. Paul, Minn.] :'",b'5',b'USA',b'ENG',"b'Breger, Melissa Lyn. Elkins, Lee. Fosbinder, Jane.'",b'1 1 1',b'New York law of domestic violence',b'2008271154 2008271154',b'VALLCCN MARCCONTROL',b'Family violence',b'2 v. :',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Lerner, Karen A.'",b'1',"b""Workers' Compensation Law and Practice Texas Practice Series""",b'',b'',b'',b'1514',b'3',b'7',FORCE_MATCH
b'West Pub. Co',"b'St. Paul, Minn. :'",b'5',b'USA',b'ENG',"b'Lerner, Karen A.'",b'1',"b""Workers' compensation law and practice Texas practice""",b'86050595 86050595',b'VALLCCN MARCCONTROL',"b""Workers' compensation""","b'xviii, 638 p. :'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Eno Jr, Arthur L Hovey, William V.'",b'1 1',b'Real Estate Law with Forms Massachusetts Practice Series',b'',b'',b'',b'2797',b'3',b'7',FORCE_MATCH
b'Thomson/West',"b'[St. Paul, Minn.]'",b'5',b'USA',b'ENG',"b'Eno, Arthur L. Hovey, William V.'",b'1 1',"b'Real estate law, with forms Massachusetts practice'",b'2005273234 2005273234',b'VALLCCN MARCCONTROL',b'Vendors and purchasers Real property Conveyancing',b'3 v. :',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Dix, George E'",b'1',b'Criminal Practice and Procedure Texas Practice Series',b'',b'',b'',b'6780',b'3',b'7',FORCE_MATCH
b'Thomson/West',"b'St. Paul, Minn.'",b'5',b'USA',b'ENG',"b'Dix, George E. Schmolesky, John M. West Group.'",b'1 1 2',b'Criminal practice and procedure Texas practice',b'2011289793 2011289793',b'VALLCCN MARCCONTROL',b'Criminal procedure',b'6 v. ;',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Hinkel, Daniel'",b'1',"b""Pindar's Georgia Real Estate Law and Procedure""",b'',b'',b'',b'4212',b'3',b'7',FORCE_MATCH
b'',b'',b'5',b'USA',b'ENG',"b'Hinkel, Danil F. Pindar, George A.'",b'1 1',"b""Pindar's Georgia real estate law and procedure with forms""",b'2013371437 2013371437',b'VALLCCN MARCCONTROL',b'Real property Real property and taxation Land use Vendors and purchasers',b'4 volumes :',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Brunet, Edward, J. Parry, John'",b'1 1',b'Summary Judgment Federal Law and Practice',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'Thomson/West',"b'[St. Paul, Minn.] :'",b'5',b'USA',b'ENG',"b'Brunet, Edward J. Redish, Martin H.'",b'1 1',b'Summary judgment federal law and practice',b'2006285184 2006285184',b'VALLCCN MARCCONTROL',b'Summary judgments',b'1 v. (various pagings) :',b'3',b'7',FORCE_MATCH
b'ASTM International',b'',b'5',b'',b'',b'Subcommittee D02.E0',b'2',b'D975-13: Standard Specification for Diesel Fuel Oils ASTM D975-13',b'10.1520/D0975-13 D975-13',b'DOI ONIXCONTROL',b'',b'',b'',b'',FORCE_MATCH
b'ASTM International',b'',b'5',b'',b'',b'Subcommittee D02.E0',b'2',b'D975-13: Standard Specification for Diesel Fuel Oils ASTM D975-13',b'10.1520/D0975-13 D975-13',b'DOI ONIXCONTROL',b'',b'',b'3',b'7',FORCE_MATCH
b'Elsevier',b'',b'1',b'',b'ENG',"b'Kokovic, Vladimir Vasovic, Miroslav Shafi, Ebadullah'",b'1 1 1',b'Assessment of primary implant stability of self-tapping implants using the resonance frequency analysis',b'S2210-8157(13)00031-0',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Kokovic, Vladimir Vasovic, Miroslav Shafi, Ebadullah'",b'1 1 1',b'Assessment of primary implant stability of self-tapping implants using the resonance frequency analysis http://linkinghub.elsevier.com/retrieve/pii/S2210815713000310',b'10.1016/J.KSUJDS.2013.07.001 S2210815713000310',b'DOI PII',b'',b'',b'',b'',FORCE_MATCH
b'Wolters Kluwer Health',"b'Philadelphia, PA'",b'11',b'USA',b'',b'',b'',b'Neurologist',b'2331-2637',b'VALISSN',b'',b'',b'',b'',FORCE_MATCH
"b'Lippincott Williams & Wilkins, Inc.'","b'Philadelphia, PA'",b'11',b'USA',b'',b'',b'',b'Neurologist',b'1074-7931 4413094',b'INCORRISSN TFWRKINST',b'',b'',b'',b'',FORCE_MATCH
b'CHARLES KNIGHT AND CO LTD',b'',b'5',b'GBR',b'',b'',b'',b'LOCAL AUTHORITY CAPITAL FINANCE',b'9780853140214 0853140219',b'VALISBN13 VALISBN10',b'',b'',b'',b'',FORCE_MATCH
b'Charles Knight & Co',b'London',b'5',b'XXX',b'',"b'HARDACRE, Walter Simpson SAGE, Norman David Bridger.'",b'1 1',b'Local Authority Capital Finance',b'001591310',b'MARCCONTROL',b'',"b'xi, 269 p. ;'",b'3',b'7',FORCE_MATCH
b'CHARLES KNIGHT AND CO LTD',b'',b'5',b'GBR',b'',b'',b'',b'LAW RELATING TO LOCAL ELECTIONS',b'9780853140146 0853140146',b'VALISBN13 VALISBN10',b'',b'',b'',b'',FORCE_MATCH
b'Charles Knight and co ltd',b'',b'5',b'XXX',b'ENG',"b'Dowson, Oscar F.'",b'1',b'Law Relating to Local Elections The',b'008927783',b'MARCCONTROL',b'',b'',b'',b'',FORCE_MATCH
b'University of California Pressdsfgds University of California Pressdsfgdsfg',b'',b'5',b'',b'ENG',"b'Burke, Kenneth'",b'1',b'8 Subtitle Title prefix Number within setdfg Set item title Set Part Number Set part title Set Variant title with type 0fg',b'9789602149201 9602149205 1',b'VALISBN13 VALISBN10 ONIXCONTROL',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'5',b'ITA',b'ITA',"b'Sibrium, Milan.'",b'2',b'8',b'226936602 ocm226936602',b'OCLCNUM MARCCONTROL',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',b'Hellriegel',b'1',b'Instructional technology as link between university and community---2015/06/26-20:17:17 This is just a test This is also purely a test http://doi.wiley.com/10.1002/jnr.490010101',b'101109MSPEC20094808394---2015/06/26-20:22:47 657-4309 666 1983.2885 9265483',b'DOI PUBCAT PUBCAT PII VALSICI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',b'Hellriegel',b'1',b'Instructional technology as link between university and community---2015/06/26-20:17:17 This is just a test This is also purely a test',b'657-4309 666 1983.2885 9265483',b'PUBCAT PUBCAT PII VALSICI',b'',b'',b'',b'',FORCE_MATCH
b'California',b'USA',b'5',b'',b'GER',b'John',b'1',b'09.0 Catalog Rank High Upload near-equivalent work and existed as TARGET php?9781604032014',b'8888888',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'U of california PR04032014',b'United States of America04032014',b'5',b'',b'GER',b'dryden john',b'1',b'09.0 Catalog Rank High Upload near-equivalent work and existed as TARGET http://www.bentham-direct.org/pages/content.php?9781604032014',b'8888888 304032014 404032014 104032014 204032014 9789904032014',b'DOI PUBCAT PUBCAT PII VALSICI VALISBN',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',b'Hellriegel',b'1',b'Instructional technology as link between university and community---2015/06/26-19:28:23 This is just a test This is also purely a test http://doi.wiley.com/10.1002/jnr.490010101',b'101109MSPEC20094808394---2015/06/26-19:33:57 657-4309 666 1983.2885 9265483',b'DOI PUBCAT PUBCAT PII VALSICI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',b'Hellriegel',b'1',b'Instructional technology as link between university and community---2015/06/26-19:28:23 This is just a test This is also purely a test',b'657-4309 666 1983.2885 9265483',b'PUBCAT PUBCAT PII VALSICI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Dan, MEtheun'",b'1',b'Matching article title_18_April_110---2015/06/26-19:12:38',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Dan, MEtheun'",b'1',b'Matching article title_18_April_110---2015/06/26-19:12:38',b'10.3366/MOD.MATCH.18_APRIL_10.3.2012.034567575542---2015/06/26-19:12:38',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Swarm, Robert Abernethy, Amy Pickar Anghelescu, Doralina L Benedetti, Costantino Blinderman, Craig D Boston, Barry Cleeland, Charles Coyle, Nessa Deleon-Casasola, Oscar A Eilers, June G Ferrell, Betty Janjan, Nora A Karver, Sloan Beth Levy, Michael H Lynch, Maureen Moryl, Natalie Murphy, Barbara A Nesbit, Suzanne A Oakes, Linda Obbens, Eugenie A Paice, Judith A Rabow, Michael W Syrjala, Karen L Urba, Susan Weinstein, Sharon M'",b'1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1',b'Adult cancer pain',b'20876544 20876544',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Swarm, Robert Abernethy, Amy Pickar Anghelescu, Doralina L Benedetti, Costantino Blinderman, Craig D Boston, Barry Cleeland, Charles Coyle, Nessa Deleon-Casasola, Oscar A Eilers, June G Ferrell, Betty Janjan, Nora A Karver, Sloan Beth Levy, Michael H Lynch, Maureen Moryl, Natalie Murphy, Barbara A Nesbit, Suzanne A Oakes, Linda Obbens, Eugenie A Paice, Judith A Rabow, Michael W Syrjala, Karen L Urba, Susan Weinstein, Sharon M'",b'1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1',b'Adult cancer pain',b'20876544 20876544',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'London Topographical Society',b'London',b'5',b'GBR',b'',"b'Schofield, John'",b'1',b'Treswell Surveys London Topographical Society publication',b'9780902087255 0902087258',b'VALISBN13 VALISBN10',b'',b'173',b'',b'',FORCE_MATCH
b'London Topographical Society',b'London :',b'5',b'GBR',b'ENG',"b'Schofield, John'",b'1',b'London surveys of Ralph Treswell Publication (London Topographical Society) The',b'978-0-902087-25-5 0-902087-25-8 87208854 87208854',b'VALISBN13 VALISBN10 VALLCCN MARCCONTROL',"b'Treswell, Ralph, 1540?-1616. London (England)'","b'ix, 164 p. :'",b'3',b'7',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Dan, MEtheun'",b'1',b'Matching article title_18_April_110---2015/02/04-03:41:47',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Dan, MEtheun'",b'1',b'Matching article title_18_April_110---2015/02/04-03:41:47',b'10.3366/MOD.MATCH.18_APRIL_10.3.2012.034567575542---2015/02/04-03:41:47',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Dan, MEtheun'",b'1',b'Matching article title_18_April_110---2015/02/04-01:30:02',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Dan, MEtheun'",b'1',b'Matching article title_18_April_110---2015/02/04-01:30:02',b'10.3366/MOD.MATCH.18_APRIL_10.3.2012.034567575542---2015/02/04-01:30:02',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'CHARLES KNIGHT AND CO LTD',b'',b'5',b'GBR',b'',b'',b'',"b""KNIGHT'S BUILDING REGULATIONS""",b'9780853146926 0853146926',b'VALISBN13 VALISBN10',b'',b'',b'',b'',FORCE_MATCH
